Sample Name	count	IGHV1-9	IGHV10-1	IGHV12-2-1	IGHV13-1	IGHV15-2	IGHV1S31	IGHV1S32	IGHV1S37	IGHV1S44	IGHV1S65	IGHV1S75	IGHV1S96	IGHV3-3	IGHV3S1	IGHV8S9	IGHV9-1	IGHV9-2	IGHV9-2-1	IGKV1-110	IGKV1-117	IGKV1-122	IGKV1-131	IGKV1-132	IGKV1-133	IGKV1-135	IGKV1-35	IGKV1-88	IGKV1-99	IGKV10-94	IGKV10-95	IGKV10-96	IGKV11-125	IGKV12-38	IGKV12-41	IGKV12-44	IGKV12-46	IGKV12-89	IGKV12-98	IGKV13-84	IGKV14-100	IGKV14-111	IGKV14-126	IGKV14-130	IGKV15-103	IGKV16-104	IGKV17-121	IGKV17-127	IGKV18-36	IGKV19-93	IGKV2-109	IGKV2-112	IGKV2-137	IGKV2-a	IGKV20-101-2	IGKV3-1	IGKV3-10	IGKV3-12	IGKV3-2	IGKV3-3	IGKV3-4	IGKV3-5	IGKV3-7	IGKV3-9	IGKV4-50	IGKV4-51	IGKV4-52	IGKV4-53	IGKV4-55	IGKV4-57	IGKV4-57-1	IGKV4-58	IGKV4-59	IGKV4-61	IGKV4-62	IGKV4-63	IGKV4-69	IGKV4-70	IGKV4-71	IGKV4-72	IGKV4-73	IGKV4-74	IGKV4-78	IGKV4-79	IGKV4-80	IGKV4-81	IGKV4-86	IGKV4-90	IGKV4-91	IGKV4-92	IGKV5-37	IGKV5-39	IGKV5-43	IGKV5-48	IGKV6-13	IGKV6-14	IGKV6-15	IGKV6-17	IGKV6-20	IGKV6-23	IGKV6-25	IGKV6-29	IGKV6-32	IGKV6-b	IGKV6-c	IGKV6-d	IGKV7-33	IGKV8-16	IGKV8-18	IGKV8-19	IGKV8-21	IGKV8-24	IGKV8-26	IGKV8-27	IGKV8-28	IGKV8-30	IGKV8-34	IGKV9-120	IGKV9-123	IGKV9-124	IGKV9-129	IGLV1	IGLV2	IGLV3	pr IGKV10-96	pr IGLV2	pr IGLV3	
SP-O1	505070	9	0	0	0	1	0	57	5	1	0	0	2	0	2	0	5	0	1	19344	5788	1736	123	921	1443	17855	30	4	903	1195	0	2383	19	6	122	72	163	2	30	3	2781	12562	2039	1049	6	96	3537	3046	0	4149	2	0	1	2	0	3732	4450	52	10818	875	9651	5937	8	402	3456	353	318	7977	5131	3260	18275	1698	11102	877	4409	1911	254	837	74	581	424	1374	318	1009	2164	779	8071	247	5305	121	303	6649	984	1046	1222	265	4015	149	6	295	66	0	123	1	0	0	352	0	1157	4859	434	2967	244	55	4887	4601	356	4603	2	2808	398	202526	49182	12238	14	517	1	
SP-O2	559650	2	0	3	0	0	0	50	6	0	0	0	4	0	0	2	2	0	0	11276	7697	825	169	378	1928	21687	13	3	1893	1899	1	3886	47	2	154	197	274	9	73	11	3415	7593	1114	594	6	131	3638	5125	0	5964	4	1	13	0	0	8374	12746	75	14533	1512	16740	7946	42	806	10320	810	496	3589	5406	6401	28455	2181	15357	4825	5442	5528	805	3046	173	1253	947	1910	408	2704	6148	1151	3445	606	12263	258	205	18631	1534	1548	806	234	5207	222	13	708	103	1	122	2	0	2	98	1	1843	7531	1062	4790	48	52	12327	8851	98	3377	1	4272	537	136961	66097	14892	3	681	0	
SP-O3	371826	0	1	0	0	0	0	22	2	0	0	0	3	0	0	1	2	0	0	11438	8229	1896	79	391	976	13634	8	8	1831	1009	1	1470	9	1	133	86	139	4	11	1	2314	4320	470	394	6	75	1763	2244	0	3942	1	0	1	0	0	3082	4134	34	7557	656	14096	6571	6	986	1215	998	164	7370	4795	2472	9285	2032	12954	1372	5582	1680	221	646	50	389	613	878	227	546	1212	410	9436	193	5396	101	133	2842	1450	674	224	209	4043	97	0	344	33	0	33	2	0	0	481	5	805	4897	608	3009	41	34	7431	3229	70	4082	0	1675	430	115732	43805	10636	6	492	0	
SP-O4	838424	3	0	0	0	0	0	65	26	0	0	0	6	0	0	1	11	1	1	29680	17213	4580	269	2421	2858	31016	35	8	4765	2577	1	3435	46	3	323	213	366	14	36	14	5583	8900	1478	847	9	167	5291	6356	1	8874	4	0	5	2	0	8936	13647	100	15186	1693	25969	14655	12	1566	5287	1678	561	11493	11902	7537	22966	7919	24738	2672	13986	4677	465	2069	122	790	1072	1797	510	1432	5387	720	12240	694	10071	220	288	13250	3145	1633	462	420	8314	252	8	985	101	0	122	6	0	3	598	13	4437	13216	1172	9777	157	85	17424	6721	109	9098	2	5063	869	253952	89220	24242	11	992	4	
SP-O5	632391	0	0	0	0	0	0	32	19	0	0	0	3	0	0	0	4	0	1	29117	11523	2576	326	1076	2925	22005	34	452	5330	2602	1	2638	53	5	354	155	416	15	27	7	4289	8995	1866	1639	11	210	6253	6321	0	7304	1	1	24	0	0	5694	9717	72	16674	1891	20786	14916	15	1168	5234	950	341	7755	7211	4742	28214	2774	16217	1291	6293	5096	290	1682	130	615	675	2683	480	1658	3020	508	4226	374	6395	252	525	16527	1523	1321	449	216	3584	199	7	397	93	1	93	4	1	1	1416	3	2036	10826	3534	6296	40	92	12436	6175	20	7055	0	3030	789	173134	53027	28364	8	520	0	
SP-Y1	426933	2	0	1	0	0	0	33	6	0	0	0	3	0	0	0	0	0	0	7183	6213	2239	131	399	1046	16703	7	9	3123	1716	1	1073	26	2	153	135	185	9	37	7	2080	5892	637	570	1	85	3691	2809	0	4183	5	0	5	0	0	2542	15848	56	7251	855	7113	5723	15	307	3926	749	294	4166	4329	3483	24874	1397	7567	1012	2015	1967	254	1333	119	416	353	1599	431	1314	1807	330	1353	462	6766	192	385	7922	1709	714	228	167	2521	99	8	175	63	0	36	2	0	1	2859	7	2897	6594	1728	3883	90	61	5866	4777	255	3096	0	1155	643	133082	48322	24517	0	453	0	
SP-Y2	465149	4	0	1	0	0	1	44	8	0	0	0	2	0	0	0	2	0	0	10945	4905	2479	117	834	1002	16512	10	1	2584	1658	1	937	27	2	129	119	173	3	32	5	1942	4154	709	472	3	100	4315	3120	0	3938	4	0	6	1	0	3003	4485	67	8534	958	13841	4182	13	2400	3992	521	585	7685	4043	2748	28127	1645	6695	2247	2243	2112	283	1196	79	363	457	1444	646	1054	2822	605	1563	355	3896	254	442	8140	1847	1214	1014	130	2445	98	11	159	39	0	38	4	0	0	43	5	1445	6115	904	6406	139	53	6415	3894	148	4159	0	2534	771	156407	51760	31388	0	537	1	
SP-Y3	417733	2	0	0	0	1	0	30	9	0	0	0	1	0	0	0	0	0	0	9543	3768	934	80	415	740	18340	14	2	2656	1630	0	901	32	3	182	192	197	3	46	6	1882	2817	676	416	2	84	4439	3420	0	3619	2	0	4	0	0	2855	3705	40	8216	848	7144	4274	7	457	2580	618	369	3609	4553	2727	18112	1548	7947	967	1349	2490	219	903	211	377	426	1518	523	1069	3041	725	1059	240	4103	238	381	5643	1573	814	391	113	2074	102	3	150	43	0	91	0	0	0	1171	1	1288	6278	589	3644	65	44	6684	4047	55	2500	1	1235	671	147762	47286	36383	0	491	5	
SP-Y4	488738	0	0	0	0	0	0	25	11	0	0	0	3	1	0	0	6	0	0	12499	4692	1630	123	622	1180	16135	12	6	2325	1404	0	1302	29	3	179	127	191	2	30	3	1609	5176	800	354	4	90	4347	2837	0	3679	0	2	1	0	0	3334	8393	32	9703	705	8634	5178	10	296	7194	765	273	5170	6042	3315	24303	1917	7067	654	990	2233	231	1236	76	390	386	1055	330	1472	1778	321	1131	265	3918	191	808	7759	1451	971	243	111	3096	396	7	250	61	0	37	1	0	0	374	0	1527	5648	625	3906	1077	48	6039	4016	340	3424	0	1255	629	181127	55154	37282	0	647	2	
SP-Y5	590958	6	0	0	0	0	0	41	15	0	1	0	1	0	0	1	6	0	0	8508	5129	1752	107	598	1109	18628	17	5	3101	1687	0	694	49	16	192	160	204	1	23	7	2083	3489	1917	638	3	84	4978	3556	0	4163	3	0	0	0	0	5092	4412	45	8816	914	10715	5995	21	442	7703	630	434	5378	4987	3474	22202	1446	8760	1907	863	3121	193	839	79	406	474	1573	461	1001	1953	609	1512	380	3043	240	444	8535	1457	1173	702	129	3256	153	4	234	76	2	66	5	0	1	546	7	2067	7429	763	4706	55	41	9343	4265	150	2683	5	1740	692	240287	74603	51250	0	993	4	
THY-O1	389543	6	0	0	0	1	0	35	12	0	0	1	4	0	0	0	0	0	0	6174	2639	708	66	215	315	11628	31	1	2457	2159	0	1430	38	1	46	97	247	4	33	6	1572	3896	1632	690	1	86	1865	1947	0	4276	2	0	0	1	0	4884	3051	48	7693	764	6551	3353	17	599	5993	578	2319	2944	3689	1410	6313	1845	8547	475	5795	1365	296	845	59	149	924	1661	393	1093	3091	605	1349	346	6178	598	911	14704	9768	668	646	85	5000	130	11	121	43	0	47	3	0	0	100	8	1345	4478	199	4637	31	40	7324	2104	66	6197	4	1213	448	155174	36484	7109	0	301	2	
